title,artist,id,releasedate,month,type,songs,duration,genre,image,link,favs,hr
PetroDragonic Apocalypse,King Gizzard & The Lizard Wizard,37,06/16/2023,june,Album,7,48min 40s,heavy metal,/icons/images/calendar/petrodragonic.jpg,,,false
claridad,Marina Reche,30,06/16/2023,june,EP,7,20min 25s,pop,/icons/images/calendar/claridad.jpg,https://open.spotify.com/intl-es/album/3WfOIUEYZSSBlJVzF9UCt0?si=337a24eb8d6348b9,⭐,true
Time Over Money,Kavel,31,06/22/2023,june,Album,11,31min 22s,rap,/icons/images/calendar/time-over-money.jpg,,,false
Your Momma,Javier Laocoonte & G.Bautista,72,06/23/2023,june,EP,4,14min 3s,rap,/icons/images/calendar/your-momma.jpg,,,false
PO2054AZ (Vol.I),Sen Senra,26,06/23/2023,june,Album,13,41min 1s,pop,/icons/images/calendar/po2054az-vol1.jpg,https://open.spotify.com/intl-es/album/2FQ1wvw5azk1cHo1YDzNXT?si=14e6e91119a543a8,⭐,true
Hay Fantasmas Todavía,Cevlade,65,06/30/2023,june,Album,13,40min 32s,rap,/icons/images/calendar/hay-fantasmas-todavia.jpg,,,false
My Back Was a Bridge for You to Cross,ANOHNI & Antony and the Johnsons,77,07/06/2023,july,Album,10,41min 23s,indie,/icons/images/calendar/my-back-was-a-bridge.jpg,,,false
The Open Range,U-Love,42,07/13/2023,july,Album,14,27min 21s,r&b,/icons/images/calendar/the-open-range.jpg,,,false
Beautiful and Brutal Yard,J Hus,36,07/14/2023,july,Album,19,1h 3min,rap,/icons/images/calendar/baby.jpg,https://open.spotify.com/intl-es/album/766bxryPZBL0hjz0KM6VUD?si=e8f844b750f54bff,⭐,false
SS23,Holics,86,07/15/2023,july,Album,10,27min 26s,rap,/icons/images/calendar/ss23.jpg,,,false
Something,Sol ChYld,59,07/21/2023,july,EP,3,6min 38s,rap,/icons/images/calendar/something.jpg,,,false
Get Up,NewJeans,4,07/21/2023,july,EP,6,12min 13s,k-pop,/icons/images/calendar/get-up.jpg,,,false
new jazz,kyra,5,07/22/2023,july,EP,5,9min 27s,electronic,/icons/images/calendar/new-jazz.jpg,,,false
The Loveliest Time,Carly Rae Jepsen,25,07/28/2023,july,Album,13,43min 35s,pop,/icons/images/calendar/the-loveliest-time.jpg,,,true
UTOPIA,Travis Scott,21,07/28/2023,july,Album,19,1h 13min,trap,/icons/images/calendar/utopia.jpg,,,false
METANOIA,Belén Aguilera,45,07/30/2023,july,Album,7,18min 59s,hyperpop,/icons/images/calendar/metanoia.jpg,,,false
Volcano,Jungle,44,08/11/2023,august,Album,14,44min 40s,dance,/icons/images/calendar/volcano.jpg,,,true
Sundial,Noname,7,08/11/2023,august,Album,11,31min 54s,rap,/icons/images/calendar/sundial.jpg,,,true
Hotel 1105,D2x,40,08/23/2023,august,Album,10,38min 56s,rap,/icons/images/calendar/hotel1105.jpg,,,false
ESTRELLA,Mora,63,08/28/2023,august,Album,15,48min 10s,reggaeton,/icons/images/calendar/estrella.jpg,,,false
El Lamento de los Niños Pobres,SECCIO & Sweet Home,54,09/01/2023,september,Album,12,33min 27s,rap,/icons/images/calendar/el-lamento-de-los-niños-pobres.jpg,https://open.spotify.com/intl-es/album/5oG6eiLWWiF0QQOzXZVqxf?si=b3492a03ec124318,⭐,true
I Came Home Late,Ama Lou,102,09/01/2023,september,Album,15,53min 33s,r&b,/icons/images/calendar/i-came-home-late.jpg,,,false
PERRO VERDE,Escandaloso Xpósito & Ciclo,91,09/04/2023,september,Album,12,37min 17s,rap,/icons/images/calendar/perro-verde.jpg,,,false
Camina Conmigo,Locus,92,09/06/2023,september,Album,7,26min 27s,rap,/icons/images/calendar/camina-conmigo.jpg,,,false
Playing Robots into Heaven,James Blake,56,09/08/2023,september,Album,11,42min 44s,experimental,/icons/images/calendar/playing-robots-into-heaven.jpg,https://open.spotify.com/intl-es/album/2ZwNcWl8h9blysDE8i4juL?si=18f679e0ea8b4393,⭐,true
Papel de Burbujas,Xavibo,90,09/13/2023,september,Album,13,41min 41s,pop,/icons/images/calendar/papel-de-burbujas.jpg,https://open.spotify.com/intl-es/album/24Xhdsa3kUc1BRa2iA9rO5?si=cb32a48283aa4c05,⭐,true
Magic 3,Nas,99,09/14/2023,september,Album,15,45min 50s,rap,/icons/images/calendar/magic3.jpg,,,false
The Love Album: Off The Grid,Diddy,94,09/15/2023,september,Album,23,1h 24min,r&b,/icons/images/calendar/the-love-album.jpg,https://open.spotify.com/intl-es/album/1Z67w2JtLfO8D2dP0Mwpy1?si=dd1f55f2f0be4769,⭐,true
Summer Series '23,Juancho Marqués,104,09/17/2023,september,EP,6,18min 44s,pop,/icons/images/calendar/summer-series23.jpg,https://open.spotify.com/intl-es/album/5AAMmtGHyu6zHZGneRia6x?si=40de215311504a8d,⭐,true
Safary,"Chicoes3, Dj Taktel & Cómodo",105,09/19/2023,september,Album,14,39min 32s,rap,/icons/images/calendar/safary.jpg,,,false
Speak To Me / Breathe,Roger Waters,106,09/21/2023,september,EP,4,20min 8s,rock,/icons/images/calendar/speak-to-me-breathe.jpg,,,false
Alpha,Aitana,81,09/22/2023,september,Album,15,39min 24s,pop,/icons/images/calendar/alpha.jpg,,,true
Sunday Truce,Franco Carter & Esse Delgado,103,09/22/2023,september,Album,10,35min 8s,rap,/icons/images/calendar/sunday-truce.jpg,,,false
falling or flying,Jorja Smith,88,09/29/2023,september,Album,16,43min 48s,r&b,/icons/images/calendar/falling-or-flying.jpg,https://open.spotify.com/intl-es/album/3cCpJc6LhvskN7i9w3WkaA?si=ad7bc69feb25443b,⭐,true
And Then You Pray For Me,Westside Gunn,107,10/13/2023,october,Album,21,1h 15min,rap,/icons/images/calendar/and-then-you-pray-for-me.jpg,,,true
For All The Dogs,Drake,108,10/06/2023,october,Album,23,1h 24min,rap,/icons/images/calendar/for-all-the-dogs.jpg,,,false
COSAS QUE BRILLAN,Ébano & A.Dense,109,10/15/2023,october,EP,6,15min 13s,rap,/icons/images/calendar/cosas-que-brillan.jpg,https://open.spotify.com/intl-es/album/6yib7IjF5TixIRpL5gDgDx?si=40aceff353434336,⭐,false
The Dark Side of The Moon Redux,Roger Waters,110,10/06/2023,october,Album,10,47min 54s,rock,/icons/images/calendar/the-dark-side-of-the-moon-redux.jpg,,,false
Ve a Terapia,Celia Becks,111,09/27/2023,september,Album,9,30min 35s,pop,/icons/images/calendar/ve-a-terapia.jpg,,,false
KAYTRAMINÉ,Aminé & KAYTRANADA,112,05/19/2023,may,Album,11,33min 43s,rap,/icons/images/calendar/kaytramine.jpg,,,false
nadie sabe lo que va a pasar mañana,Bad Bunny,113,10/13/2023,october,Album,22,1h 21min,reggaeton,/icons/images/calendar/nadie-sabe.jpg,,,false
Obsidian,Naomi Sharon,114,10/20/2023,october,Album,13,41min 45s,r&b,/icons/images/calendar/obsidian.jpg,https://open.spotify.com/intl-es/album/4545KLMxMvi6RBnNRe58t6?si=hluIDmWIT-qLxUnGVsRgfQ,⭐,false
Lahai,Sampha,115,10/20/2023,october,Album,14,41min,r&b,/icons/images/calendar/lahai.jpg,,,false
JOSÉ,Gese da O,116,10/05/2023,october,Album,7,15min 1s,rap,/icons/images/calendar/jose.jpg,,,false
CLEAR 2: SOFT LIFE,Summer Walker,117,05/19/2023,may,EP,9,28min 8s,r&b,/icons/images/calendar/clear-2.jpg,,,false
SUPERNOVA,Ralphie Choo,118,09/15/2023,september,Album,14,36min 51s,r&b,/icons/images/calendar/supernova.jpg,,,false
Fanfare,Dorian Electra,119,10/06/2023,october,Album,13,41min 21s,hyperpop,/icons/images/calendar/fanfare.jpg,,,false
Something To Give Each Other,Troye Sivan,120,10/13/2023,october,Album,10,43min 45s,pop,/icons/images/calendar/something-to-give-each-other.jpg,,,false
Trincheira Nº02,Jovelina,121,10/24/2023,october,EP,10,16min 3s,rock,/icons/images/calendar/trincheira-n02.jpg,,,false
Perfect Picture,Hannah Diamond,122,10/06/2023,october,Album,12,40min 37s,pop,/icons/images/calendar/perfect-picture.jpg,,,false
Water Made Us,Jamila Woods,123,10/13/2023,october,Album,17,45min 11s,r&b,/icons/images/calendar/water-made-us.jpg,,,false
Javelin,Sufjan Stevens,124,10/06/2023,october,Album,10,42min 4s,indie,/icons/images/calendar/javelin.jpg,,,false
Jonny,The Drums,125,10/13/2023,october,Album,16,51min 5s,indie,/icons/images/calendar/jonny.jpg,,,false
ÁTTA,Sigur Rós,126,06/16/2023,june,Album,10,56min 37s,pop,/icons/images/calendar/atta.jpg,,,false
Que Entren En Mi Cabeza,Mercedes Cañas,127,10/27/2023,october,Album,11,31min 51s,pop,/icons/images/calendar/que-entren-en-mi-cabeza.jpg,https://open.spotify.com/intl-es/album/6GDCV6UWVgWDyiaw8QVQPz?si=EkhKUZoUSmeIV0IzuUvbqw,⭐,false
Larger Than Life,Brent Faiyaz,128,10/27/2023,october,Album,14,36min 20s,r&b,/icons/images/calendar/larger-than-life.jpg,,,false
Real Cultural Shit,Channel Tres,129,02/24/2023,february,EP,5,19min 50s,electronic,/icons/images/calendar/real-cultural-shit.jpg,,,false
Delivery,Urbanse,130,10/26/2023,october,Album,8,22min 35s,rap,/icons/images/calendar/delivery.jpg,,,false
Medellín Jazz Panorama,"Vic Deal, Bopscat & Hakim Al-Khaliq",131,08/25/2023,august,Album,12,20min 58s,instrumental,/icons/images/calendar/medellin-jazz-panorama.jpg,,,false
Honey,Samia,132,01/27/2023,january,Album,11,40min 6s,indie,/icons/images/calendar/honey.jpg,,,false
Good Riddance,Gracie Abrams,133,02/24/2023,february,Album,12,52min 30s,pop,/icons/images/calendar/good-riddance.jpg,,,false
“A T E M P O R A L”,Rxnde Akozta & Dellepiane Digga,134,09/03/2023,september,EP,6,13min 16s,rap,/icons/images/calendar/atemporal.jpg,,,false
Kimochy Season,Lucky Kilimanjaro,135,04/05/2023,april,Album,14,46min 32s,j-pop,/icons/images/calendar/kimochy-season.jpg,,,false
THE BOOK 3,YOASOBI,136,10/04/2023,october,Album,10,29min 31s,j-pop,/icons/images/calendar/the-book-3.jpg,,,false
ULTRABELLEZA,María José Llergo,137,10/27/2023,october,Album,13,36min 6s,flamenco,/icons/images/calendar/ultrabelleza.jpg,,,false
Silence Between Songs,Madison Beer,138,09/15/2023,september,Album,14,44min 47s,pop,/icons/images/calendar/silence-between-songs.jpg,,,false
Stem Vius!,dani6ix & IZZKID,139,10/13/2023,october,Album,7,18min 49s,reggaeton,/icons/images/calendar/stem-vius.jpg,,,false
En qué pienso cuando lloro,Yarea,140,10/13/2023,october,EP,5,14min 24s,pop,/icons/images/calendar/en-que-pienso-cuando-lloro.jpg,,,false
In the End It Always Does,The Japanese House,141,06/30/2023,june,Album,12,45min 5s,indie,/icons/images/calendar/in-the-end-it-always-does.jpg,,,false
"PARANOÏA, ANGELS, TRUE LOVE",Christine and the Queens,142,06/09/2023,june,Album,20,1h 36min,pop,/icons/images/calendar/paranoia-angels-true-love.jpg,,,false
